query_1 doc_1	1
query_1	doc_2	1
query_1	doc_3	2
query_1	doc_4	2
query_1	doc_5	1
query_1	doc_6	0
query_1	doc_7	0
query_1	doc_8	1
query_1	doc_9	1
query_1	doc_10	1
query_2	doc_1	0
query_2	doc_2	1
query_2	doc_3	2
query_2	doc_4	2
query_2	doc_5	1
query_2	doc_6	2
query_2	doc_7	0
query_2	doc_8	1
query_2	doc_9	1
query_2	doc_10	2
query_3	doc_1	0
query_3	doc_2	2
query_3	doc_3	2
query_3	doc_4	1
query_3	doc_5	2
query_3	doc_6	1
query_3	doc_7	2
query_3	doc_8	2
query_3	doc_9	0
query_3	doc_10	0
query_4	doc_1	0
query_4	doc_2	1
query_4	doc_3	2
query_4	doc_4	0
query_4	doc_5	0
query_4	doc_6	0
query_4	doc_7	0
query_4	doc_8	2
query_4	doc_9	1
query_4	doc_10	0
query_5	doc_1	2
query_5	doc_2	0
query_5	doc_3	0
query_5	doc_4	1
query_5	doc_5	2
query_5	doc_6	0
query_5	doc_7	1
query_5	doc_8	1
query_5	doc_9	0
query_5	doc_10	0
query_6	doc_1	2
query_6	doc_2	1
query_6	doc_3	2
query_6	doc_4	0
query_6	doc_5	2
query_6	doc_6	1
query_6	doc_7	2
query_6	doc_8	2
query_6	doc_9	0
query_6	doc_10	1
query_7	doc_1	2
query_7	doc_2	1
query_7	doc_3	1
query_7	doc_4	2
query_7	doc_5	0
query_7	doc_6	2
query_7	doc_7	0
query_7	doc_8	0
query_7	doc_9	0
query_7	doc_10	1
query_8	doc_1	2
query_8	doc_2	0
query_8	doc_3	2
query_8	doc_4	1
query_8	doc_5	2
query_8	doc_6	0
query_8	doc_7	2
query_8	doc_8	1
query_8	doc_9	0
query_8	doc_10	2
query_9	doc_1	0
query_9	doc_2	1
query_9	doc_3	1
query_9	doc_4	0
query_9	doc_5	0
query_9	doc_6	2
query_9	doc_7	0
query_9	doc_8	2
query_9	doc_9	2
query_9	doc_10	0
query_10	doc_1	2
query_10	doc_2	2
query_10	doc_3	0
query_10	doc_4	2
query_10	doc_5	2
query_10	doc_6	1
query_10	doc_7	0
query_10	doc_8	1
query_10	doc_9	1
query_10	doc_10	0
query_11	doc_1	0
query_11	doc_2	1
query_11	doc_3	2
query_11	doc_4	2
query_11	doc_5	2
query_11	doc_6	1
query_11	doc_7	0
query_11	doc_8	0
query_11	doc_9	0
query_11	doc_10	1
query_12	doc_1	2
query_12	doc_2	0
query_12	doc_3	1
query_12	doc_4	0
query_12	doc_5	1
query_12	doc_6	1
query_12	doc_7	1
query_12	doc_8	1
query_12	doc_9	0
query_12	doc_10	2
query_13	doc_1	2
query_13	doc_2	2
query_13	doc_3	1
query_13	doc_4	0
query_13	doc_5	2
query_13	doc_6	1
query_13	doc_7	2
query_13	doc_8	1
query_13	doc_9	0
query_13	doc_10	1
query_14	doc_1	0
query_14	doc_2	0
query_14	doc_3	0
query_14	doc_4	1
query_14	doc_5	0
query_14	doc_6	1
query_14	doc_7	2
query_14	doc_8	1
query_14	doc_9	0
query_14	doc_10	2
query_15	doc_1	2
query_15	doc_2	1
query_15	doc_3	2
query_15	doc_4	0
query_15	doc_5	1
query_15	doc_6	1
query_15	doc_7	0
query_15	doc_8	2
query_15	doc_9	1
query_15	doc_10	1
query_16	doc_1	1
query_16	doc_2	2
query_16	doc_3	2
query_16	doc_4	2
query_16	doc_5	0
query_16	doc_6	0
query_16	doc_7	0
query_16	doc_8	0
query_16	doc_9	0
query_16	doc_10	1
query_17	doc_1	0
query_17	doc_2	1
query_17	doc_3	1
query_17	doc_4	1
query_17	doc_5	1
query_17	doc_6	1
query_17	doc_7	1
query_17	doc_8	1
query_17	doc_9	1
query_17	doc_10	2
query_18	doc_1	0
query_18	doc_2	2
